order_id,payment_id,created_at,amount_inr,method,category,is_new_customer,past_orders,past_return_rate,order_hour,is_weekend,is_late_night,delivery_distance_km,checkout_time_sec,returned_or_chargeback
order_7e50181574,pay_4d1e90a24a,2026-08-20 01:52:19.250331,234.13,wallet,apparel,1,0,0.0,1,0,1,10.8,21.8,1
order_fd8fb037f9,pay_16c24a3168,2026-08-14 02:26:28.250331,311.54,upi,apparel,0,4,0.1517199870047611,2,0,1,31.5,118.2,0
order_1b17d4909e,pay_097f4c4b16,2026-08-03 09:21:35.250331,1586.23,cod,grocery,0,3,0.06869409572628356,9,0,0,9.6,139.3,0
order_21d00724b0,pay_3c71abaab7,2026-08-03 22:23:15.250331,133.84,cod,grocery,0,4,0.03710603011182005,22,0,0,36.1,21.0,0
order_c96bb048a4,pay_ba41f2166c,2026-08-10 04:13:17.250331,457.23,cod,apparel,0,7,0.12527141626034366,4,0,1,27.5,49.0,1
order_40be81a090,pay_0819f9f5bd,2026-08-08 08:38:43.250331,3765.98,netbanking,electronics,1,0,0.0,8,1,0,9.6,56.4,0
order_10058ef4f5,pay_9e1ea074e8,2026-08-05 09:49:15.250331,50.0,card,grocery,0,4,0.09504301362892797,9,0,0,0.2,48.4,0
order_fe4c14a50a,pay_75aab9762a,2026-08-23 14:10:03.250331,2108.0,card,digital,0,5,0.38628171403052075,14,1,0,0.0,12.3,0
order_66db3f6e59,pay_5d0202547d,2026-08-07 11:14:41.250331,693.3,cod,apparel,0,3,0.002776573451134785,11,0,0,18.0,34.7,1
order_d7d59b47c4,pay_71b700a53b,2026-08-11 17:32:25.250331,1131.71,upi,home,0,5,0.16159775781401692,17,0,0,14.9,55.4,1
order_3778bfe09d,pay_e0a1b13f98,2026-08-14 09:42:25.250331,2122.38,upi,apparel,0,3,0.1845487193560164,9,0,0,2.3,94.5,0
order_f2a7269342,pay_1c3d71e8d7,2026-08-18 00:27:36.250331,183.89,upi,apparel,0,5,0.359944203770342,0,0,1,12.2,88.8,0
order_f886504ccf,pay_c7570b14ad,2026-07-29 03:19:35.250331,11394.5,wallet,electronics,1,0,0.0,3,0,1,23.0,242.4,0
order_8223cd12c3,pay_9a1314bb7a,2026-08-18 14:43:03.250331,614.44,upi,apparel,0,9,0.04781316111570755,14,0,0,23.4,106.4,0
order_d2bde17a98,pay_ce9687dcc9,2026-08-18 21:17:17.250331,2722.15,upi,grocery,0,4,0.0691502727899534,21,0,0,29.5,127.9,0
order_0e8c0b92dd,pay_934c18425b,2026-08-14 12:37:12.250331,1128.63,card,digital,0,5,0.1404883378870046,12,0,0,0.0,83.0,0
order_ff7b7734e6,pay_e57ad56599,2026-08-14 14:03:21.250331,606.9,upi,apparel,1,0,0.0,14,0,0,13.6,21.6,1
order_7b1c45ed32,pay_dd5f83d501,2026-08-15 22:04:43.250331,546.41,cod,electronics,1,0,0.0,22,1,0,14.9,25.3,1
order_27d2344e4a,pay_ea8a91a4cb,2026-08-06 01:30:12.250331,1371.92,upi,digital,1,0,0.0,1,0,1,0.0,34.7,0
order_09aaa1eca5,pay_21f80ad23b,2026-08-06 15:54:47.250331,571.31,card,apparel,1,0,0.0,15,0,0,18.2,130.5,0
order_b992643cc5,pay_2c0c748545,2026-08-06 16:45:31.250331,282.73,cod,electronics,1,0,0.0,16,0,0,4.1,115.4,1
order_60179f86fe,pay_3f1a224f06,2026-08-20 21:30:23.250331,953.86,upi,home,1,0,0.0,21,0,0,10.7,178.0,0
order_88a99eaf33,pay_707e07e23e,2026-07-28 15:55:07.250331,183.36,upi,apparel,0,3,0.005165558736128712,15,0,0,0.1,69.2,0
order_eaa4de6fbb,pay_43b3e6440b,2026-08-12 08:41:37.250331,1368.17,upi,digital,1,0,0.0,8,0,0,0.0,67.0,0
order_11a0038e47,pay_fc33d36085,2026-08-08 16:50:11.250331,1268.55,upi,electronics,1,0,0.0,16,1,0,2.2,96.1,0
order_8355ee80bb,pay_7b7a41230f,2026-08-27 08:20:12.250331,250.95,netbanking,grocery,0,4,0.2081868247053191,8,0,0,26.0,36.1,0
order_8368e40f78,pay_5ff181308b,2026-08-24 23:02:45.250331,601.31,card,electronics,0,5,0.16061825027550714,23,0,1,0.6,8.6,0
order_53ed46ed88,pay_e828872a3e,2026-08-06 23:12:56.250331,899.97,cod,electronics,0,10,0.0705846876015499,23,0,1,2.1,25.5,0
order_471d23d344,pay_73b5b31ece,2026-08-01 04:45:42.250331,857.83,cod,apparel,0,1,0.07098465218926847,4,1,1,3.9,169.4,1
order_5ee3963334,pay_741cc18e30,2026-08-14 09:56:30.250331,1168.64,upi,home,1,0,0.0,9,0,0,16.4,60.5,0
order_45d62dcee7,pay_77d77d0929,2026-08-19 09:59:07.250331,808.41,upi,home,0,9,0.1310828524902868,9,0,0,2.4,45.9,0
order_f763809770,pay_294340b3bc,2026-08-01 03:59:27.250331,1135.0,upi,grocery,1,0,0.0,3,1,1,23.3,37.9,1
order_6fc44c14e3,pay_6239b11a7a,2026-08-12 12:25:17.250331,536.76,card,apparel,0,5,0.015107547951677675,12,0,0,0.0,117.2,0
order_35d657cf14,pay_2b2584a214,2026-08-18 23:47:15.250331,859.37,cod,home,0,4,0.06843727940843933,23,0,1,1.4,23.5,1
order_c04c31b532,pay_c122e56c59,2026-08-02 18:25:24.250331,171.68,card,home,1,0,0.0,18,1,0,24.6,243.4,0
order_015c05099f,pay_ac12d5e033,2026-08-20 18:48:57.250331,1321.14,card,apparel,0,5,0.32448732785219675,18,0,0,1.2,106.8,0
order_fccbcf54c2,pay_e184101b6b,2026-08-07 07:33:42.250331,407.07,card,apparel,0,10,0.024887226230803073,7,0,0,17.4,11.4,0
order_930371f106,pay_40bb90198a,2026-07-30 04:28:44.250331,301.49,netbanking,digital,0,5,0.20379974999501482,4,0,1,0.0,17.8,0
order_26dfa7bfed,pay_c13355717a,2026-08-25 06:04:23.250331,212.91,upi,digital,0,5,0.08945889970355574,6,0,0,0.0,10.9,0
order_fc81fb17f6,pay_6d3bf5ef59,2026-08-04 09:48:26.250331,287.2,upi,home,0,9,0.1821197617204309,9,0,0,9.6,34.5,0
order_d2efc03000,pay_f4583c3ce0,2026-08-08 22:47:30.250331,821.87,upi,electronics,0,7,0.29722177402155947,22,1,0,1.4,24.3,0
order_9e3843fe4c,pay_c9456b20d6,2026-08-25 22:08:00.250331,374.25,upi,home,1,0,0.0,22,0,0,18.0,13.4,0
order_991a278365,pay_a3840ccf3b,2026-08-03 03:43:42.250331,950.02,card,digital,0,4,0.01859010975406872,3,0,1,0.0,200.0,0
order_867705c357,pay_064112d049,2026-08-10 18:49:03.250331,183.03,netbanking,home,0,4,0.519241603331191,18,0,0,6.7,15.1,0
order_91250f9b77,pay_3318ea81a5,2026-08-16 08:58:41.250331,1167.47,upi,grocery,0,3,0.05837371246277547,8,1,0,9.3,78.4,0
order_faa40d31cf,pay_0b76d418a0,2026-08-13 20:17:26.250331,226.77,upi,grocery,1,0,0.0,20,0,0,4.9,25.5,0
order_ca98df445e,pay_b7eb54abc6,2026-08-24 23:09:15.250331,183.86,cod,apparel,0,5,0.16277224376388108,23,0,1,7.4,45.1,0
order_35cd033193,pay_5795409e78,2026-07-30 02:13:30.250331,1332.26,cod,grocery,0,6,0.05403066713678667,2,0,1,1.3,115.5,0
order_5fd1741acc,pay_d752a16fce,2026-08-02 19:59:42.250331,1632.32,upi,apparel,0,5,0.26646221661196495,19,1,0,8.1,100.0,1
order_364caa0ec6,pay_4a4de15497,2026-08-13 22:14:53.250331,354.65,upi,home,0,7,0.18739598039003197,22,0,0,2.6,140.9,0
order_98266934c9,pay_f49699f23b,2026-08-13 22:44:10.250331,123.46,cod,apparel,0,4,0.4785746190490161,22,0,0,55.5,126.1,1
order_145314237e,pay_1e75a2f6d1,2026-08-09 16:55:50.250331,544.25,upi,home,0,5,0.04640124809162345,16,1,0,10.8,60.7,0
order_31b35754a4,pay_5be566b696,2026-08-27 03:11:57.250331,1101.89,card,electronics,0,7,0.17411679230939933,3,0,1,0.0,111.2,0
order_f6455458cf,pay_51d4cbdf4a,2026-08-26 18:37:13.250331,731.22,card,apparel,1,0,0.0,18,0,0,0.9,43.5,0
order_df2d60d994,pay_12cf908be5,2026-07-30 18:42:56.250331,1376.93,cod,apparel,0,1,0.16227526766519565,18,0,0,6.1,281.2,0
order_6260e991de,pay_5a6a812702,2026-08-21 13:32:18.250331,819.9,cod,apparel,0,2,0.38259252807537003,13,0,0,5.3,99.7,1
order_67c7cf3fb0,pay_bb53a93abb,2026-08-05 15:19:11.250331,667.39,upi,apparel,0,4,0.06583999234501624,15,0,0,9.5,74.3,0
order_6021abcf2c,pay_72f58caae0,2026-08-01 02:32:25.250331,490.16,upi,apparel,0,4,0.08073499199495177,2,1,1,2.7,159.2,0
order_50a57cee95,pay_5d9b8154f1,2026-08-20 01:23:04.250331,579.37,upi,apparel,0,5,0.10132895157643933,1,0,1,3.2,58.9,0
order_13513e2d3d,pay_09cd0f8cca,2026-08-26 12:28:17.250331,1303.24,netbanking,home,1,0,0.0,12,0,0,22.7,121.8,1
order_d95ccb7373,pay_c723bc01f5,2026-08-18 09:14:48.250331,2592.53,upi,electronics,0,1,0.1036159172025684,9,0,0,4.4,28.3,0
order_ae6a696535,pay_206054d767,2026-07-29 03:33:17.250331,1471.59,wallet,apparel,0,5,0.009255442296172667,3,0,1,3.2,49.6,0
order_dcc7cb8680,pay_09a2121d37,2026-08-09 11:23:05.250331,132.34,netbanking,apparel,0,6,0.13027442577238824,11,1,0,37.4,48.8,0
order_c791a1ed7f,pay_219ce0b941,2026-08-08 14:36:58.250331,437.43,card,apparel,0,6,0.23745418918184172,14,1,0,6.0,143.4,0
order_6c30e7da92,pay_3d82575370,2026-08-13 09:21:16.250331,1568.41,card,electronics,1,0,0.0,9,0,0,2.9,22.8,0
order_75f1fe402f,pay_3f964dd645,2026-08-09 19:26:35.250331,1106.18,upi,apparel,0,7,0.43477253804173077,19,1,0,1.0,44.8,0
order_0ca357208f,pay_7d4b9af314,2026-08-13 04:30:58.250331,397.42,card,electronics,0,2,0.002065341320854902,4,0,1,7.9,152.3,0
order_48570a629e,pay_14a8b86c87,2026-08-15 16:22:27.250331,440.48,card,electronics,1,0,0.0,16,1,0,7.0,30.2,0
order_f45bbe84f6,pay_0070dc7523,2026-08-15 00:50:03.250331,551.11,netbanking,electronics,0,4,0.08872561774143649,0,1,1,17.5,47.6,0
order_c02fe89b40,pay_4888e24401,2026-08-10 08:53:24.250331,397.38,netbanking,electronics,0,6,0.00858554255232158,8,0,0,55.9,20.2,0
order_bb80e53890,pay_7f798dbef6,2026-08-03 21:34:11.250331,1293.27,card,digital,0,11,0.23281686516662786,21,0,0,0.0,62.9,0
order_a23e45a02a,pay_1c39a6e3ba,2026-07-29 07:33:16.250331,761.76,card,digital,1,0,0.0,7,0,0,0.0,9.0,0
order_956b345126,pay_001991c4b4,2026-08-13 02:58:17.250331,2062.43,cod,apparel,0,4,0.06652060570714717,2,0,1,27.6,230.3,0
order_f7e597301a,pay_e0950f0616,2026-07-30 15:59:02.250331,464.25,upi,digital,1,0,0.0,15,0,0,0.0,52.1,0
order_766c96be55,pay_50f8513d51,2026-08-26 02:32:09.250331,2533.39,cod,home,0,5,0.004855887591316915,2,0,1,34.2,77.9,0
order_6771f06f49,pay_3223ea5300,2026-08-11 12:27:03.250331,1368.66,wallet,grocery,0,6,0.033642195438085346,12,0,0,2.7,72.1,0
order_e38bf892c0,pay_f884eb8db0,2026-08-15 05:53:51.250331,190.59,card,grocery,0,6,0.08994941905938011,5,1,0,12.6,83.3,0
order_792b4f06b8,pay_fa9667be10,2026-08-26 13:28:41.250331,282.08,upi,digital,0,5,0.27705698192499933,13,0,0,0.0,32.7,0
order_a1d2399e7b,pay_f55bf74071,2026-08-24 01:28:19.250331,2811.66,cod,home,1,0,0.0,1,0,1,9.2,12.6,0
order_237ade1647,pay_a24dbbc884,2026-08-04 19:50:17.250331,87.01,card,digital,0,3,0.015540043651324977,19,0,0,0.0,87.1,0
order_246a08336e,pay_adf0472f33,2026-08-02 10:44:19.250331,50.53,cod,grocery,1,0,0.0,10,1,0,4.7,173.8,1
order_534536f1a1,pay_c6ce17a18b,2026-08-15 14:06:16.250331,264.55,card,digital,0,5,0.025945565304006234,14,1,0,0.0,71.9,0
order_3cb65b2e59,pay_127dd881fa,2026-07-31 06:29:51.250331,2492.02,upi,grocery,0,6,0.11922140385745092,6,0,0,41.5,19.4,0
order_c320779f41,pay_066d98141b,2026-08-06 01:44:45.250331,1849.07,upi,electronics,0,6,0.5777258038281593,1,0,1,38.8,152.3,1
order_b93a21265d,pay_72a5e00e9a,2026-08-04 21:57:55.250331,812.62,cod,home,0,4,0.12800769829911765,21,0,0,1.1,29.7,0
order_2752e9d1f7,pay_da882ba1e0,2026-08-19 09:56:09.250331,272.39,upi,digital,0,8,0.04337122558098225,9,0,0,0.0,65.3,0
order_ddc89681e4,pay_928179d415,2026-08-15 10:06:01.250331,1012.48,wallet,apparel,0,6,0.636952638202107,10,1,0,0.3,37.4,0
