review_threshold,hold_threshold,approval_rate,review_rate,hold_rate,total_intervention_rate,risky_order_recall,intervention_precision,false_positive_count,false_negative_count,review_cost,hold_cost,missed_risk_cost,total_estimated_cost,feasibility_status,rejection_reason
0.01,0.02,0.0,0.00875,0.99125,1.0,1.0,0.16375,669,0,350.0,118950.0,0.0,119300.0,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.03,0.0,0.035,0.965,1.0,1.0,0.16375,669,0,1400.0,115800.0,0.0,117200.0,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.04,0.0,0.07375,0.92625,1.0,1.0,0.16375,669,0,2988.315,111150.0,0.0,114138.315,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.05,0.0,0.11875,0.88125,1.0,1.0,0.16375,669,0,5128.785,105750.0,0.0,110878.785,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.06,0.0,0.165,0.835,1.0,1.0,0.16375,669,0,7674.747,100200.0,0.0,107874.747,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.07,0.0,0.2175,0.7825,1.0,1.0,0.16375,669,0,9913.712,93900.0,0.0,103813.712,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.08,0.0,0.28,0.72,1.0,1.0,0.16375,669,0,13016.042000000001,86400.0,0.0,99416.042,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.09,0.0,0.33375,0.66625,1.0,1.0,0.16375,669,0,15935.816,79950.0,0.0,95885.816,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.1,0.0,0.40375,0.59625,1.0,1.0,0.16375,669,0,19912.21,71550.0,0.0,91462.20999999999,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.11,0.0,0.4625,0.5375,1.0,1.0,0.16375,669,0,22507.583,64500.0,0.0,87007.583,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.12,0.0,0.51875,0.48125,1.0,1.0,0.16375,669,0,25742.066,57750.0,0.0,83492.06599999999,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.13,0.0,0.55875,0.44125,1.0,1.0,0.16375,669,0,27478.746,52950.0,0.0,80428.746,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.14,0.0,0.5925,0.4075,1.0,1.0,0.16375,669,0,29090.225,48900.0,0.0,77990.225,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.15,0.0,0.6325,0.3675,1.0,1.0,0.16375,669,0,31389.436,44100.0,0.0,75489.436,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.16,0.0,0.6625,0.3375,1.0,1.0,0.16375,669,0,33143.909,40500.0,0.0,73643.909,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.17,0.0,0.68375,0.31625,1.0,1.0,0.16375,669,0,34704.546,37950.0,0.0,72654.546,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.18,0.0,0.70125,0.29875,1.0,1.0,0.16375,669,0,35670.008,35850.0,0.0,71520.008,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.19,0.0,0.725,0.275,1.0,1.0,0.16375,669,0,36708.845,33000.0,0.0,69708.845,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.2,0.0,0.75375,0.24625,1.0,1.0,0.16375,669,0,37960.261,29550.0,0.0,67510.261,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.21,0.0,0.77375,0.22625,1.0,1.0,0.16375,669,0,39599.145000000004,27150.0,0.0,66749.145,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.22,0.0,0.78625,0.21375,1.0,1.0,0.16375,669,0,40474.522,25650.0,0.0,66124.522,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.23,0.0,0.7975,0.2025,1.0,1.0,0.16375,669,0,41084.965,24300.0,0.0,65384.965,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.24,0.0,0.81125,0.18875,1.0,1.0,0.16375,669,0,41772.165,22650.0,0.0,64422.165,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.25,0.0,0.82,0.18,1.0,1.0,0.16375,669,0,42359.225,21600.0,0.0,63959.225,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.26,0.0,0.825,0.175,1.0,1.0,0.16375,669,0,42559.225,21000.0,0.0,63559.225,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.27,0.0,0.83375,0.16625,1.0,1.0,0.16375,669,0,42985.322,19950.0,0.0,62935.322,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.28,0.0,0.84,0.16,1.0,1.0,0.16375,669,0,43265.654,19200.0,0.0,62465.654,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.29,0.0,0.85125,0.14875,1.0,1.0,0.16375,669,0,43774.582,17850.0,0.0,61624.582,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.3,0.0,0.8625,0.1375,1.0,1.0,0.16375,669,0,44651.925,16500.0,0.0,61151.925,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.31,0.0,0.87625,0.12375,1.0,1.0,0.16375,669,0,45679.797,14850.0,0.0,60529.797,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.32,0.0,0.8925,0.1075,1.0,1.0,0.16375,669,0,46437.755,12900.0,0.0,59337.755,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.33,0.0,0.89875,0.10125,1.0,1.0,0.16375,669,0,46712.402,12150.0,0.0,58862.402,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.34,0.0,0.91,0.09,1.0,1.0,0.16375,669,0,47483.846000000005,10800.0,0.0,58283.846000000005,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.35,0.0,0.91375,0.08625,1.0,1.0,0.16375,669,0,47683.73,10350.0,0.0,58033.73,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.36,0.0,0.92125,0.07875,1.0,1.0,0.16375,669,0,48164.037,9450.0,0.0,57614.037,Infeasible,Violates MAX_INTERVENTION_RATE
0.01,0.37,0.0,0.92625,0.07375,1.0,1.0,0.16375,669,0,48881.232,8850.0,0.0,57731.232,Infeasible,Violates MAX_INTERVENTION_RATE
